ds,y,label
2021-11-08,4267236.434655047,future
2021-11-09,4268573.720801225,future
2021-11-10,4269911.006947437,future
2021-11-11,4271248.293093816,future
2021-11-12,4272585.579240029,future
2021-11-13,4273922.865386207,future
2021-11-14,4275260.15153262,future
2021-11-15,4276597.437678797,future
2021-11-16,4277934.7238250105,future
2021-11-17,4279272.009971188,future
2021-11-18,4280609.296117602,future
2021-11-19,4281946.582263779,future
2021-11-20,4283283.868409957,future
2021-11-21,4284621.154556371,future
2021-11-22,4285958.440702548,future
2021-11-23,4287295.726848762,future
2021-11-24,4288633.0129949385,future
2021-11-25,4289970.299141352,future
2021-11-26,4291307.58528753,future
2021-11-27,4292644.871433742,future
2021-11-28,4293982.157580121,future
2021-11-29,4295319.443726334,future
2021-11-30,4296656.729872512,future
2021-12-01,4297994.016018925,future
2021-12-02,4299331.302165103,future
2021-12-03,4300668.5883113155,future
2021-12-04,4302005.874457493,future
2021-12-05,4303343.160603907,future
2021-12-06,4304680.446750085,future
2021-12-07,4306017.732896297,future
2021-12-08,4307355.019042676,future
2021-12-09,4308692.305188853,future
2021-12-10,4310029.591335067,future
2021-12-11,4311366.877481445,future
2021-12-12,4312704.163627657,future
2021-12-13,4314041.449773836,future
2021-12-14,4315378.735920047,future
2021-12-15,4316716.022066426,future
2021-12-16,4318053.30821264,future
2021-12-17,4319390.594358817,future
2021-12-18,4320727.88050523,future
2021-12-19,4322065.166651408,future
2021-12-20,4323402.452797621,future
2021-12-21,4324739.7389437985,future
2021-12-22,4326077.025090212,future
2021-12-23,4327414.31123639,future
2021-12-24,4328751.597382602,future
2021-12-25,4330088.883528987,future
2021-12-26,4331426.169675158,future
2021-12-27,4332763.455821373,future
2021-12-28,4334100.741967751,future
2021-12-29,4335438.028113962,future
2021-12-30,4336775.314260141,future
2021-12-31,4338112.600406353,future
2022-01-01,4339449.886552732,future
2022-01-02,4340787.172698945,future
2022-01-03,4342124.458845122,future
2022-01-04,4343461.744991535,future
2022-01-05,4344799.031137713,future
2022-01-06,4346136.3172839265,future
2022-01-07,4347473.6034301035,future
2022-01-08,4348810.889576517,future
2022-01-09,4350148.175722695,future
2022-01-10,4351485.461868907,future
2022-01-11,4352822.748015286,future
2022-01-12,4354160.034161464,future
2022-01-13,4355497.320307677,future
2022-01-14,4356834.606454056,future
2022-01-15,4358171.892600268,future
2022-01-16,4359509.178746446,future
2022-01-17,4360846.464892658,future
